Android Studio;Giraffe;1
Visual Studio Code;1.82;1
Flutter;3.4;1
BlueStacks;5.3;1
Git;2.42.0;1
Github Desktop;3.3.1;1
Netbeans;8.2;1
Pseint;20230517;1
StarUML;5.1.0;1
Visual Studio 2022;Enterprise;1
VS Community 2019;Community 2019;1
SQL SERVER Express;2022;1
Python Anaconda;3.4;1
Microsoft Office;365;1
VirtualBox;7.0;1
Centos 7.0 Minimal;7;1
Visual Studio Code;1.82;2
Netbeans;8.2;2
Xampp;8.2.4;2
Oracle 12C servidor;12c;2
Pseint;20230517;2
Netbeans;15;2
Excel;2013;3
Project;2013;3
Tora;3.2.283;3
Visual Studio Code;1.82;3
Python;3.11.2;3
Microsoft Office;365;3
VirtualBox;7.0;3
Git Bash;2.42.0;4
Visual Studio Code;1.82;4
Xampp;8.2.4;4
Netbeans;8.2;4
Doxygen;1.9.8;4
JMeter;5.6.2;4
Kali Linux Maquina Virtual;2023.3;4
Microsoft Office;365;4
VirtualBox;7.0;4
MS SQL SERVER 2022;Developer;5
Visual Studio 2022;Enterprise;5
POWER BI Desktop;2.120.963.0;5
Cisco Packet Tracer;8.2.1;5
Android Studio;Electric;5
Visual Studio Code;1.82;5
Angular;12;5
Node Js;16.17.1;5
Ionic;6;5
Excel;2013;5
Project;2013;5
Tora;3.2.283;5
Jabref;5.7;5
Mendeley ;2.99.0;5
Microsoft Office;365;5
Adobe Acrobat;10;5
Latex;2021;5
Lyx;2.0.0;5
Microsoft Office;365;6
Visual Studio Code;1.82;6
Visual Studio 2022;Enterprise;6
Jabref;5.7;6
Mendeley ;2.99.0;6
Adobe Acrobat;10;6
Latex;2021;6
Lyx;2.0.0;6
SQL Server 2019;2019;7
MARIA DB;11.2.1;7
VS Community 2019;Community 2019;7
MATLAB;2022;7
Python Anaconda;3.4;7
PROLOG;9.0.4;7
StarUML;5.1.0;7
Eclipse;4.28;7
VirtualBox;7.0;8
VS Community 2019;Community 2019;8
SQL Server 2019;2019;8
Netbeans;8.2;8
Postgresql;15;8
Mysql;8.0;8
MS SQL SERVER 2022;Developer;8
Visual Studio 2022;Enterprise;8
SQL SERVER Express;2022;8
Visual Studio Code;1.82;8
MongoDB;7.0;8
Python Anaconda;3.4;8
Jabref;5.7;8
Mendeley ;2.99.0;8
Adobe Acrobat;10;8
Latex;2021;8
Lyx;2.0.0;8
Microsoft Office;365;8
MS SQL SERVER 2022;Developer;9
Visual Studio 2022;Enterprise;9
POWER BI Desktop;2.120.963.0;9
Python;3.11.2;9
Netbeans;15;9
Labview ;2013;15
Tia Portal;15;15
Labview ;2013;12
Labwiew 32 bits;2020;12
Autocad;2020;13
Office;2012;13
Flexim;2022;13
Mastercam;2023;13
Autocad;2022;13
Zotero;6;13
Office;2013;13
Mendeley ;2.99.0;13
Labview ;2013;14
Autocad;2020;14
Office;2013;14
R Studio;0.97.124;14
CadeSimu;4.0;14
Step 7;5.7;56
Codesys;3.5;56
Labview;2013;56